show_number,showid,showdate,venueid,tourid,exclude_from_stats,setlist_notes
11,1251587381,1985-02-25,344,3,0,
12,1251587448,1985-03-02,10,3,1,This date was previously part of the setlist file but was later determined to be a duplicate o4 3/2/86.
13,1249948445,1985-03-04,10,3,0,"This show was an African Relief benefit for OXFAM.Â Fire Up the Ganja (which is the song Fire on the Mountain with different lyrics) featured Bobby Hackney and Jah RoyÂ of the band Lambsbread on vocals. This setlist is incomplete and featured the first known version of Anarchy and first known Phish version of Fire Up the Ganja. This is the first known version of Skippy to have McGrupp lyrics. (This song was called Skippy by the band at this time, even though it eventually became McGrupp.)"
14,1251587664,1985-03-08,344,3,0,This show featured the first known performance of Sneakin' Sally through the Alley.
15,1251587687,1985-03-16,344,3,0,"During the jam, cartoons were shown behind the band on six television screens. The cartoons got faster and faster while the band did the same. If the 2/1/85 setlist is not correct for that date, then this show featured the first known performances of Alumni Blues and Mike's Song."
16,1251587745,1985-03-29,344,3,0,
17,1251588374,1985-04-06,346,3,0,"This show was a benefit for Tools for Peace and Justice in Central America and featured the first known performances of Hydrogen, Revolution, and McGrupp and the first known Phish performances of Big Leg Emma and Quinn the Eskimo. The jam after Slave may have been Back Porch Boogie Blues. The end of Mike's Song contained a vocal section with lyrics to the effect of ""Life is not what it seems.""&nbsp;Revolution was dedicated to Anne Labrusciano and Trey explained it used to be entitled ""Leunig&rsquo;s Sucks"" but now it&rsquo;s entitled &ldquo;Revolution&rdquo;. Run Like An Antelope was introduced by Trey as &ldquo;Run Like an Antelope Out of Control&rdquo;. McGrupp And The Watchful Hosemasters was narrated rather than sung.&nbsp;If the 2/1/85 setlist is not correct for that date, then this show featured the first known performances of Letter to Jimmy Page, Dave's Energy Guide, and Run Like an Antelope."
18,1251588411,1985-04-19,10,3,0,"It is unclear whether a show occurred on this date or not. The recording of this show that circulates, both as 4/19/85 and as 5/19/85, contains the Scarlet -&gt; Eyes -&gt; Whipping Post from 5/3/85, and both the Midnight Hour and Fire Up the Ganja (with members of the band Lambsbread) from 3/4/85 Hunt&#39;s.&nbsp;"
19,1251588560,1985-04-21,347,3,0,This show was performed at The Bowl in the center of campus.
20,1252183096,1985-05-01,348,3,0,"In what must have been the busiest day in early Phishtory, the band played four shows (three of which were fraternity parties)."
21,1252183122,1985-05-01,348,3,0,"In what must have been the busiest day in early Phishtory, the band played four shows (three of which were fraternity parties)."
22,1252183151,1985-05-01,348,3,0,"In what must have been the busiest day in early Phishtory, the band played four shows (three of which were fraternity parties)."
23,1251595629,1985-05-01,348,3,0,"In what must have been the busiest day in early Phishtory, the band played four shows (three of which were fraternity parties)."
24,1251596261,1985-05-03,348,3,0,"This show was performed at the Last Day Party on UVM&rsquo;s Redstone campus. It marked Page&rsquo;s debut with the band, as he sat in during portions of the third set. In fact, Big Leg Emma was preceded by an announcement from Trey that &ldquo;our friend Page, from Goddard, will sit in later.&rdquo; Bring it On Home featured Bobby Brown on harmonica and Whipping Post featured Jeff on vocals. McGrupp was dedicated to Fish. Makisupa featured a reggae jam. This show featured the only known Phish performances of Bring It On Home and The Other One."
25,1251596779,1985-05-07,346,3,0,
26,1251597035,1985-05-31,246,3,0,"This show was a benefit for the Union of Concerned Students (UCS), a group that worked with anti-Apartheid forces to help pull UVM investments out of South Africa. Herbal Tea also played at this show. It appears that Big Leg Emma may have been played, but the setlist is unknown."
27,1251597254,1985-09-26,349,61,1,"This was an in-studio set that was aired live on the WRUV &ldquo;Exposure&rdquo; radio show. Before Antelope, the band invited fans to the Slade Hall gig on the following night. Prep School Hippie was introduced as &ldquo;Trust Fund Baby.&rdquo; This performance was the band&rsquo;s first with Page as an official member and featured the first known versions of Dog Log and Prep School Hippie."
28,1251597695,1985-09-27,246,3,0,"This show was performed on the Redstone campus,&nbsp;is likely incomplete based on song and tape cuts, and may have been two sets instead of three. This show featured the first known performances of Possum,&nbsp;Melt the Guns, and T.V. Theme&nbsp;and the first known public performance of Prep School Hippie. Boxes of macaroni and cheese were passed out to the audience to&nbsp;shake along with the band during Melt the Guns, T.V. Theme, and Sneakin&#39; Sally. Melt the Guns included a macaroni and cheese vocal&nbsp;jam.&nbsp;Anarchy and Revolution were performed twice with the second versions being sung as &quot;Sex Mob&quot; and &quot;Dead Cops&quot; respectively. Trey jokingly introduced McGrupp as &quot;Love the One You&#39;re With.&quot; The segue between McGrupp and Cities included a jam that would eventually become the end of David Bowie. The band handed out boxes of macaroni and cheese during Melt the Guns for the audience to use as shakers. The source of this setlist is phish.com."
29,1251597818,1985-10-17,346,3,0,Some fans have labeled the show-opening jam a &ldquo;<em>Star Trek</em> Jam.&rdquo;
30,1251597853,1985-10-20,246,3,0,
31,1251598022,1985-10-26,347,61,1,"""Halloween Fest"" This would have been Phish&rsquo;s first Halloween celebration, but they were unable to play. References to the show are made in <em>The Phish Book</em>; for audio comments, dig deep into the Hunt&rsquo;s show four nights later."
32,1251598241,1985-10-30,10,3,0,"This show contained the first known version&nbsp;of Harry Hood&nbsp;and the first known public version of Dog Log. Trey remarked during the intro to Hood that &quot;this one is a story of the man who lives directly across the street from us right now.&quot; (The house on King Street where Trey, Fish, and Brian Long lived was across the street from the Hood factory.) Slave was dedicated to &ldquo;Brickle.&rdquo; Trey&rsquo;s humorous comments about being &ldquo;back on Planet Earth&rdquo; were in reference to the events at Goddard on October 26. Alumni had a reference to pumpkin pie. This setlist is likely incomplete."
33,1251598452,1985-11-02,246,3,0,
34,1251598631,1985-11-14,350,3,0,"This show was an acoustic benefit that also featured performances by The Joneses and The Visions. Fish played percussion instead of a drumkit. Slave appeared to have a female vocalist accompanying Trey. This show also featured the first known version of Dear Mrs. Reagan and the first known&nbsp;Phish versions of Hurricane and Piggies. Makisupa included additional impromptu verses regarding Mike, Fish and their &quot;new friend, Page.&quot; Piggies was dedicated to Harry Mitiguy, then president of the Howard Bank (referred to by Trey as &quot;Howard Mitiguy&quot;). The drum jam out of Makisupa may have included Marc Daubert, at least one member of The Joneses, and possibly others. Phish&#39;s archivist, Kevin Shapiro, played the Makisupa &gt; Piggies -&gt; Makisupa portion of this show on From the Archives on 10/30/09 at Festival 8. The date of this show may be 11/19/85."
35,1251598745,1985-11-23,347,3,0,"This list for Set II is likely incomplete, as the only recording that circulates fades in and out at points. The âWhipping Post Jamâ fades in after Mikeâs Song on the recording that circulates. This âJamâ contained a jam reminiscent of Dark Star. It also featured Norwegian Wood teases from Mike, a Slave to the Traffic Light tease from Trey, and a jam reminiscent of the early intro to Harry Hood. Antelope fades in after the âWhipping Post Jamâ fades out. The complete lists for Sets I (featuring the first known Phish performance of Wild Thing) and II are not known, although Mike has referenced the first set Wild Thing in interviews and in <em>The Phish Book</em>."
36,1251599046,1985-12-13,1623,3,0,This show was a private party and is sometimes noted as the âRed House Party.â  The Jam contained Night Fever quotes. This setlist is incomplete.
37,1252183401,1986-02-03,10,4,0,"This show was an African National Congress Benefit featuring Phish and South African dub poet ZenzilÃ© Madikinea. Antelope featured Jeff Holdsworth on slide guitar. Russ Flanigan sat in on fiddle for parts of this show. Alumni was played by request. Letter to Jimmy Page contained quotes from Trey of ""It's alright"" before eventually returning to Alumni. Some recordings erroneously note that this show was a double-bill with The Joneses. This show contained the first known version of You Enjoy Myself, although it is possible that the correct debut was on 2/1/85, and theÂ first known performances of ZenzilÃ©'s pieces (all with Phish) Tonight, The Pendulum, Babylon is Burning, and Dec 1661. The first set of this show is identical to what is listed for 2/1/85. The setlist for 2/1/85 is possibly incorrect."
38,1576689967,1986-02-21,825,61,0,"This performance was part of &quot;Midwinter Muse: A Poetry Weekend&quot; and also featured local acts&nbsp;Aron Tagor and&nbsp;Ellen Powell. Zenzile (backed by Phish), Margaret Randall, and Allen Ginsberg also read at this event."
39,1252183679,1986-02-28,246,4,0,
40,1476846596,1986-03-02,10,61,0,Phish shared the bill at this show with The Ventilators.
41,1252184007,1986-04-01,10,4,0,"<p>This show was billed as Huntâs Festival of Fools. Phish and The Joneses switched off for 45-minute sets; the two bands performed the encore together. The Pendulum, which was a recital of revolutionary poetry, featured guest ZenzilÃ© Madikinea. This gig contained the first known versions of AC/DC Bag and Icculus, the first known Phish version of Have Mercy, and the only known Phish performances of Help on the Way, Slipknot and Not Fade Away. McGrupp was spoken in a Dylan-esque fashion, in keeping with Treyâs jokes about Phish being the âDylan Band.â Free Bird was teased before Not Fade Away.</p>
"
42,1252184379,1986-04-15,348,4,1,"The Earth Day show that had circulated with this date&nbsp;actually occurred on April 25, 1986&nbsp;according to a <em>Burlington Free Press</em> article."
43,1476840558,1986-04-25,348,61,0,"This show was an Earth Day concert at UVM and took place outside the&nbsp;Bailey Howe Library on the Green. This performance previously&nbsp;circulated with the dates April 15 and April 29, 1986. Trey introduced the band as&nbsp;the &ldquo;Bob Dylan Band&rdquo; before they began a jam that led into&nbsp;a short All Blues (the first known Phish performance; it was only&nbsp;about a minute long). Dog Log was dedicated to all of the dogs that&nbsp;were running around, including Marley the Wonder Dog (Trey&#39;s dog). Possum included&nbsp;a Help on the Way tease."
44,1252184512,1986-04-29,348,4,1,"The Earth Day show that had circulated with this date&nbsp;actually occurred on April 25, 1986&nbsp;according to a <em>Burlington Free Press</em> article."
45,1252184603,1986-05-16,350,4,0,
46,1252184754,1986-05-17,347,4,0,"While a complete setlist for this &ldquo;Springfest&rdquo; performance at Goddard is not known, it has been confirmed that Halley&rsquo;s debuted at this show with Richard Wright on vocals. Back Porch Boogie Blues also made its first known Phish performance. This is the last known Phish show with Jeff Holdsworth as an official member of the band."
47,1252185491,1986-05-24,10,4,0,This setlist is incomplete. Richard Wright provided vocals for Halley&rsquo;s Comet. This was the first Phish show without Jeff Holdsworth.
48,1252185582,1986-06-01,422,4,0,This show was performed on a boat in Boston Harbor as part of the Cambridge School graduation festivities. Mike&rsquo;s brother assisted Phish in securing the gig.
49,1476845172,1986-07-18,1385,61,0,
50,1252185617,1986-09-03,10,4,0,
51,1252185645,1986-09-10,346,4,0,
52,1252185726,1986-09-26,423,4,0,"Though recordings do not circulate, it is believed that a show was played on this date at a hippie commune owned by a man named &ldquo;Irving.&rdquo; In a 1992 interview, Trey referenced this show when asked about the strangest gig the band has ever played. No setlist is known."
53,1252185870,1986-10-12,424,4,0,This show featured the first known performances of Golgi Apparatus and Wilson.
54,1252186198,1986-10-15,10,4,0,"<p>This show contained the first known versions of many Phish songs, including Lushington, Shaggy Dog, Roll Like a Cantaloupe, Sanity, and Clod, as well as the first known Phish versions of Skin It Back, Peaches, Swing Low, and Mustang Sally. Shaggy Dog ended with a Magic quote. Before YEM, Page played cocktail-style jazz, including snippets of Misty while Trey tuned up. Trey teased The Gumbo Variations in Mike's Song. The third set listing is incomplete; recordings that circulate have cuts before Cantaloupe. The Clod encore began with an impromptu kazoo solo from Mike. This was Paul Languedocâs first show as soundman.</p>
"
55,1252186614,1986-10-31,426,4,0,This show was a co-bill with The Joneses. Trey and Mike quoted Fuck Your Face and Minkin during the Melt the Guns intro. Halleyâs Comet featured Richard Wright on vocals. Have Mercy featured Jah Roy on vocals. This show contained the first known version of David Bowie.
56,1252186691,1986-11-07,427,4,0,
57,1252186718,1986-11-14,246,4,0,
58,1252186748,1986-11-18,2,4,0,
59,1669419704,1986-11-25,2,61,0,The setlist for this show is unknown.
60,1252187221,1986-12-06,65,4,0,"The jam before Swing Low Sweet Chariot contained a tease&nbsp;of Ramblin&#39; Man (Allman Brothers). Icculus featured Steve Drebber on vocals. David Bowie&rsquo;s hi-hat intro section included a Streets of Cairo tease from Trey. This show included the first known Phish performances of Funky Bitch, I Know a Little, Light Up or Leave Me Alone, Good Times Bad Times, Little Drummer Boy, She Caught The Katy, and Tush."
61,1252187999,1987-01-19,10,5,1,This performance was previously part of the setlist file but it was later concluded no show happened on this date.
62,1252188030,1987-01-21,10,5,0,It is possible this setlist may belong to 1/19/87 or both shows may have  happened with this list properly attributed to 1/21/1987. The source of this setlist is phish.com.
63,1252188056,1987-02-01,2,5,0,
64,1252188080,1987-02-02,2,5,0,
65,1252188132,1987-02-07,432,5,0,
66,1252188340,1987-02-13,433,5,0,"The Dude of Life made a guest appearance on vocals during Suzy (first known version), Sanity, Fluffhead, and Hood. There were no vocals in Slave or on the return to Alumni Blues after Letter to Jimmy Page."
67,1252188670,1987-02-21,246,5,0,"While this show may have taken place six nights later, this date is believed to be correct. This setlist is incomplete. The show contained the first known Phish performances of Why Don&#39;t You Love Me?, Blue Monk, Boogie On Reggae Woman, Ya Mar, and Corinna. In the intro to Blue Monk, Trey said &ldquo;Ladies and gentlemen, three quarters of the Bob Dylan Band.&rdquo; Blue Monk subsequently contained an &#39;A&#39; Train tease from Page."
68,1252189214,1987-02-27,246,61,1,Recordings circulate with this date with the same performance that is listed for 2/21/87.&nbsp; It is unclear whether these songs were performed on 2/27/87 or 2/21/87.
69,1252189601,1987-03-06,347,5,0,"Free Bird was an actual attempt at the song and not an <em>a cappella</em> version, but was performed quite mockingly and not in its entirety. It did, however, feature Ninja Mike on vocals. Happy Birthday was sung to &ldquo;Sue and Debra&rdquo; and was a long, reggae-influenced version. Tell Me Something Good featured an unidentified female lead vocalist. Jim Pollock offered vocals for the only known performance of Freeworld.&nbsp;This show featured the first known Phish performances of Free Bird, Tell Me Something Good, and Freeworld."
70,1252191775,1987-03-22,2,5,0,
71,1252191933,1987-03-23,2,5,0,"<p>Based on comments made by the band during the show, it appears that there may have been a third set. However, only the first two sets are known to circulate. This gig featured the first known performances of Ride Captain Ride and Sparks. YEM contained Wot and John Jacob Jingleheimer Schmidt quotes.</p>
"
72,1252192203,1987-04-24,434,5,0,Phish played this show at the conclusion of &ldquo;Earth Week.&rdquo; This gig featured the only known performance of Punch Me in the Eye and the first known performance of Who Do? We Do!
73,1252192233,1987-04-28,2,5,0,
74,1252192523,1987-04-29,2,5,0,"This show featured the debut of Fuck Your Face and the first known Phish performances of Take the &lsquo;A&rsquo; Train, Timber (Jerry), The Ballad of Curtis Loew, and Come On (Part One). &#39;A&#39; Train featured Jeff Friedberg on saxophone. The Fuck Your Face debut was in dispute for many years, though the <a href=""http://Phish.com/"">Phish.com</a> setlist file seems to confirm that the song was indeed performed on this date."
75,1252192982,1987-05-10,2,5,0,
76,1252193187,1987-05-11,2,5,0,"This show included some funny stage banter, including Treyâs announcement after TMWSIY: âThat was called âThe Man Who Stepped Into Yesterday... and Iâm going to get my head sharpened.â Lushington did not contain any lyrics. A set break was announced after Ya Mar, so this is the complete first set. The songs listed as in the second set are believed to have been performed in that set, though it is unknown whether more songs were also performed in the second set, and if there was a third set as well. This show featured the first known performances of The Man Who Stepped Into Yesterday, Divided Sky, Harpua, and Bundle of Joy,Â as well as the first known Phish performance of Avenu Malkenu.Â The keyword for Makisupa was ""Woke up in the morning, dioxin on my head / Woke up in the afternoon Gaddafi in my bed."""
77,1252193213,1987-05-12,2,5,0,
78,1252193254,1987-05-16,424,5,0,This gig was part of Goddard&rsquo;s SpringFest.
79,1252193387,1987-05-20,428,5,0,"This show was a co-bill with The Joneses. This setlist may be incomplete, as it was taken from a video that circulates. Lushington did not contain any lyrics. Alumni featured guests from local bands The Joneses and Mental Floss on rhythm guitar and saxophone."
80,1252193657,1987-08-09,2,5,0,"This show marked the first known performances of The Curtain With, The Sloth, Fee, and Flat Fee, as well as the first known Phish performance of La Grange. Lushington did not contain any lyrics."
81,1252193865,1987-08-10,2,5,0,Icculus was dedicated to Paul Languedoc&rsquo;s mother on her birthday. This show featured the first known Phish performance of Jesus Just Left Chicago.
82,1252194507,1987-08-21,431,5,0,"This show is mislabeled on many recordings as 8/27/87. Teases were everywhere, including a Trench Town Rock quote from Trey before Hood, a Whipping Post tease from Fish and a Jingle Jangle Jingle tease from Trey after HYHU,&nbsp;a full band Sneakin&#39; Sally tease before Golgi, a Smoke on the Water tease after Sparks, La Bamba lyrics in the Low Rider Jam, as well as a full band HYHU tease and a Slipknot! tease from Trey before McGrupp. Harpua was played by request and was restarted after the opening lyric, which was repeated. The intro to Sparks was extended while Fish&nbsp;relieved himself. McGrupp was introduced as &quot;The Gala Event.&quot; The third set was heavy on jamming and light on lyrics. Trey delivered some freestyle reggae rapping before and during the Makisupa Jam that some fans have labeled the &ldquo;Mouse House Rap.&rdquo; Mike&#39;s included a DEG tease from Trey.&nbsp;David Bowie contained a Tom Sawyer tease and was unfinished. This show contained the first known performance&nbsp;of BBFCFM and the first known Phish performance of HYHU."
83,1252197470,1987-08-22,437,5,0,
84,1252198219,1987-08-29,428,5,0,"This show was dedicated to Eric Larson, who took care of Trey&rsquo;s dog Marley over the summer. Alumni contained a Wilson tease. HYHU was teased before Suzy. Suzy contained HYHU teases and a Sussudio quote from Trey. Surfin&#39; Bird was teased after Mustang Sally. Ya Mar was dedicated to Marley and included a Call to the Post tease by Trey. This show featured the first known Hydrogen to contain the lyrics &quot;I walk awakening on the misty fields of forever.&quot; Bowie contained a Streets of Cairo tease from Trey and was unfinished."
85,1252198380,1987-09-02,10,5,0,Lushington did not contain any lyrics. Makisupa included the band playing with varied special effects. This setlist is likely incomplete.
86,1252199454,1987-09-03,10,5,0,
87,1252199482,1987-09-04,347,5,0,
88,1252199548,1987-09-19,347,5,0,
89,1252199596,1987-09-20,2,5,0,
90,1252199801,1987-09-21,2,5,0,"The listed setbreaks may be incorrect. Happy Birthday, played in a decidedly &#39;dub&#39; style, was dedicated to &ldquo;Spup.&rdquo; This show marked the first known Phish performances of Rocky Top and Terrapin. Flat Fee was teased after Antelope."
91,1697676922,1987-09-26,1594,61,0,"This performance was for the wedding of Teri and John Paluska. Aside from Possum, which apparently accompanied the cake cutting, the rest of this setlist is unknown. Pounding System opened. This information is from Phish.com"
92,1252200111,1987-09-27,166,5,1,"There was no show on this date. The show that circulated for many years as &quot;9/27/87&quot; has been determined to have occurred instead on February 20, 1988."
93,1252200165,1987-10-10,65,5,0,"This show was Wayne Stout's birthday party at Eric Larsonâs house. The band played two sets and there are no recordings in circulation. Eric requested Prep School Hippie, which the band aborted, going into Â Divided Sky. The source of this setlist is phish.com."
94,1252200355,1987-10-14,10,5,0,This show marked the first known performance of The Chase outside of Lushington. This setlist is likely incomplete.
95,1252200387,1987-10-18,2,5,0,
96,1252200411,1987-10-19,2,5,0,
97,1476846802,1987-10-21,10,61,1,This performance was previously part of the setlist file but it was later concluded that this date was a duplicate of 10/14/87.
98,1252200455,1987-10-23,438,5,0,
99,1252200470,1987-10-24,438,5,0,
100,1252200779,1987-10-31,426,5,0,"This show was a double bill with The Joneses, and featured the first known performance of Love You. The jam before Whipping Post included Low Rider teases. Whipping Post had a lyric changed to &quot;slice my nipple.&quot; It has been reported that Fish&nbsp;shaved his entire body for this show!"
101,1476849155,1987-11-15,2,61,0,
102,1476849219,1987-11-16,2,61,0,
103,1476849245,1987-11-17,2,61,0,
104,1252200960,1987-11-18,10,5,0,"The second set listing is incomplete, as the recordings that circulate cut during Bag. The first known performance of I Didn&rsquo;t Know was dedicated to Brian Long."
105,1252201187,1987-11-19,10,5,0,"Divided Sky was botched badly, leading Trey to launch humorously into BBFCFM. This show contained the first known performance of Dinner and a Movie, the first known Phish performance of Bike, and was the last known show at Hunt&rsquo;s.&nbsp; Trey introduced &lsquo;A&rsquo; Train as Fuck Your Face."
106,1252201293,1987-11-21,2,5,0,
107,1252201227,1987-11-22,2,5,0,
108,1252201262,1987-11-23,2,5,0,
109,1252201493,1988-01-27,13,6,0,This show contained the first known version of The Lizards.
110,1252201581,1988-02-03,13,6,0,This show featured the first known Phish performance of Sympathy for the Devil. &nbsp;Bowie contained an Entrance of the Gladiators tease by Trey.&nbsp;This setlist is incomplete and the date of the show may be incorrect.
111,1252297010,1988-02-07,2,6,0,"After Dear Mrs. Reagan, Trey introduced ""Alex,"" a new waitress at Nectar's. I Didn't know featured FishÂ on trombone. Happy Birthday was dedicated to Trey's sister Kristy, who was running lights for the show, ""Roz,"" and ""Meg."" He brought Kristy, ""Roz,"" and Del Martin (because ""Meg"" was not there) on stage. This show featured the first known Phish performance of Phase Dance. Mockingbird also made its debut at this show and was played without Forbinâs. Before Whipping Post, Trey introduced Lizards as ""Where Have All the Lizards Gone?"" Page teased the theme from <em>I Dream of Jeannie</em> in Lizards. Suzy was stopped in its intro with Trey jokingly saying ""good night"" before restarting the song. Trey teased DEG in Good Times Bad Times."
112,1252297186,1988-02-08,2,6,0,HYHU was teased prior to the start of the second set. Antelope contained &quot;Moses Heaps&quot; and Moses Brown&quot; references. Bike included one verse of Love You and a trombone solo from Fish.
113,1252297223,1988-02-10,13,6,0,
114,1252297276,1988-02-20,166,6,0,"This show was an ATO Pledge Party and previously circulated as September 27, 1987. Trey teased Who Knows in Fire and DEG in Whipping Post.&nbsp;There was a third set to this show but copies do not circulate and no list is known. Some copies of this show in circulation are incomplete and out of order. These copies are usually mislabeled as &ldquo;Pledge Party, Burlington, VT.&rdquo; Other copies circulate with the complete recording (except for BBFCFM) but have Slave before Bowie; this order is incorrect. Good Times Bad Times, Slave to the Traffic Light, and Big Black Furry Creature From Mars were shot from a video by (or for) Mike. It is unclear whether BBFCFM closed the set or was the encore because a recording of it does not circulate."
115,1252297456,1988-02-24,13,6,0,This is the first known Curtain without &ldquo;With.&rdquo; The second set listing may be incomplete. The first two songs of the second set featured John Carlton on drums. I Didn&#39;t Know and Sneakin&rsquo; Sally featured Fish&nbsp;on trombone. Mike dedicated Mustang Sally to Abe Vigoda &quot;because it&#39;s his birthday today&quot; and later introduced La Grange as being by Vigoda.
116,1252297666,1988-02-26,450,6,0,I Didn&#39;t Know featured Fish&nbsp;on trombone.
117,1252353638,1988-03-09,13,6,0,
118,1252353883,1988-03-11,461,6,0,"This show featured the only known Phish performance of The Chicken. Sneakin&rsquo; Sally and Curtis Loew featured Bobby Brown on harmonica. Bowie began with a tease medley that included Timber, Alumni Blues, Smoke on the Water, Sunshine of Your Love, Money, Whipping Post, and several others. YEM did not contain a vocal jam. Trey teased Entrance of the Gladiators and spat out the names &ldquo;Marco Esquandolas... Poster Nutbag... Moses Heaps... Moses DeWitt&rdquo; during Antelope. Dinner and a Movie was dedicated to &ldquo;our good friend Susannah.&rdquo; Lizards was delayed, as Trey cut on Fish&nbsp;for losing his drumsticks during the gig; Lizards subsequently included a theme from&nbsp;<em>I Dream of Jeanie</em> tease. Some recordings that circulate are mislabeled &ldquo;The Base Lounge.&rdquo;"
119,1252354481,1988-03-12,2,6,0,"This was John Paluska&rsquo;s first Phish show and also the first known live Gamehendge, complete with narration between songs from McGrupp through Possum. This show contained the first known Phish version of Jump Monk and the first known versions of Tela and Forbin&rsquo;s (although on 5/21/88, Trey called Tela a debut). Antelope contained Dixie teases from Trey. The members of Phish were, by accounts, at the Frank Zappa concert up the street at the Burlington Memorial Auditorium before this Nectar&rsquo;s gig. This setlist is incomplete."
120,1252370777,1988-03-20,2,6,0,"There was a show on this date, but recordings do not circulate. However, mislabeled recordings circulate with this date are actually the <em>Junta</em> release party from 5/9/89."
121,1252370928,1988-03-21,2,6,0,I Didn't Know featured FishÂ on trombone. This setlist is likely incomplete.
122,1252370959,1988-03-22,2,6,0,Happy birthday was performed in a &quot;dub style&quot; and was played for &quot;Christa&quot; and &quot;Jen.&quot; The recording in circulation cuts in the middle of AC/DC Bag; this setlist may be incomplete.
123,1252371110,1988-03-31,467,6,0,"This was the first ever Phish show in New York City. AC/DC Bag was sung for Roger (presumably Roger Holloway), who was in attendance."
124,1252371223,1988-04-02,468,6,0,"This setlist is obviously incomplete. Humphries House had been a Zeta Upsilon (""Zu"") frat house and monthly parties used to occur there that were referred to as ""Full Moon at the Zoo"" parties."
125,1252371256,1988-04-06,13,6,0,
126,1252371284,1988-04-17,2,6,0,
127,1252371312,1988-04-18,2,6,0,
128,1252371341,1988-04-19,2,6,0,
